week_start,iso_week,district,age_group,confirmed_cases,hospitalizations
2026-01-26,2026-W05,Old Harbor,0-4,13,0
2026-01-26,2026-W05,Old Harbor,5-17,55,0
2026-01-26,2026-W05,Old Harbor,18-49,48,1
2026-01-26,2026-W05,Old Harbor,50-64,40,0
2026-01-26,2026-W05,Old Harbor,65+,60,7
2026-01-26,2026-W05,Millbrook,0-4,22,1
2026-01-26,2026-W05,Millbrook,5-17,71,1
2026-01-26,2026-W05,Millbrook,18-49,60,2
2026-01-26,2026-W05,Millbrook,50-64,36,0
2026-01-26,2026-W05,Millbrook,65+,23,1
2026-01-26,2026-W05,Cedar Falls,0-4,9,1
2026-01-26,2026-W05,Cedar Falls,5-17,64,0
2026-01-26,2026-W05,Cedar Falls,18-49,52,1
2026-01-26,2026-W05,Cedar Falls,50-64,25,3
2026-01-26,2026-W05,Cedar Falls,65+,32,4
2026-01-26,2026-W05,Southport,0-4,18,1
2026-01-26,2026-W05,Southport,5-17,62,1
2026-01-26,2026-W05,Southport,18-49,73,2
2026-01-26,2026-W05,Southport,50-64,11,0
2026-01-26,2026-W05,Southport,65+,13,3
2026-02-02,2026-W06,Northgate,0-4,21,0
2026-02-02,2026-W06,Northgate,5-17,65,0
2026-02-02,2026-W06,Northgate,18-49,76,1
2026-02-02,2026-W06,Northgate,50-64,24,0
2026-02-02,2026-W06,Northgate,65+,22,5
2026-02-02,2026-W06,Riverside East,0-4,12,0
2026-02-02,2026-W06,Riverside East,5-17,50,0
2026-02-02,2026-W06,Riverside East,18-49,56,0
2026-02-02,2026-W06,Riverside East,50-64,14,0
2026-02-02,2026-W06,Riverside East,65+,18,4
2026-02-02,2026-W06,Old Harbor,0-4,5,0
2026-02-02,2026-W06,Old Harbor,5-17,32,0
2026-02-02,2026-W06,Old Harbor,18-49,42,2
2026-02-02,2026-W06,Old Harbor,50-64,22,1
2026-02-02,2026-W06,Old Harbor,65+,45,4
2026-02-02,2026-W06,Millbrook,0-4,9,2
2026-02-02,2026-W06,Millbrook,5-17,57,1
2026-02-02,2026-W06,Millbrook,18-49,61,1
2026-02-02,2026-W06,Millbrook,50-64,31,2
2026-02-02,2026-W06,Millbrook,65+,31,7
2026-02-02,2026-W06,Cedar Falls,0-4,16,0
2026-02-02,2026-W06,Cedar Falls,5-17,30,0
2026-02-02,2026-W06,Cedar Falls,18-49,54,1
2026-02-02,2026-W06,Cedar Falls,50-64,34,1
2026-02-02,2026-W06,Cedar Falls,65+,24,5
2026-02-02,2026-W06,Southport,0-4,15,0
2026-02-02,2026-W06,Southport,5-17,42,2
2026-02-02,2026-W06,Southport,18-49,49,0
2026-02-02,2026-W06,Southport,50-64,16,1
2026-02-02,2026-W06,Southport,65+,15,4
2026-02-09,2026-W07,Northgate,0-4,13,0
2026-02-09,2026-W07,Northgate,5-17,47,0
2026-02-09,2026-W07,Northgate,18-49,47,3
2026-02-09,2026-W07,Northgate,50-64,26,1
2026-02-09,2026-W07,Northgate,65+,17,3
2026-02-09,2026-W07,Riverside East,0-4,8,0
2026-02-09,2026-W07,Riverside East,5-17,27,0
2026-02-09,2026-W07,Riverside East,18-49,40,0
2026-02-09,2026-W07,Riverside East,50-64,9,1
2026-02-09,2026-W07,Riverside East,65+,8,1
2026-02-09,2026-W07,Old Harbor,0-4,4,0
2026-02-09,2026-W07,Old Harbor,5-17,34,1
2026-02-09,2026-W07,Old Harbor,18-49,22,0
2026-02-09,2026-W07,Old Harbor,50-64,17,0
2026-02-09,2026-W07,Old Harbor,65+,47,11
2026-02-09,2026-W07,Millbrook,0-4,9,3
2026-02-09,2026-W07,Millbrook,5-17,36,0
2026-02-09,2026-W07,Millbrook,18-49,61,1
2026-02-09,2026-W07,Millbrook,50-64,18,0
2026-02-09,2026-W07,Millbrook,65+,32,4
2026-02-09,2026-W07,Cedar Falls,0-4,14,0
2026-02-09,2026-W07,Cedar Falls,5-17,42,1
2026-02-09,2026-W07,Cedar Falls,18-49,65,0
2026-02-09,2026-W07,Cedar Falls,50-64,21,1
2026-02-09,2026-W07,Cedar Falls,65+,27,2
2026-02-09,2026-W07,Southport,0-4,10,0
2026-02-09,2026-W07,Southport,5-17,16,0
2026-02-09,2026-W07,Southport,18-49,20,0
2026-02-09,2026-W07,Southport,50-64,13,4
2026-02-09,2026-W07,Southport,65+,5,1
2026-02-16,2026-W08,Northgate,0-4,13,1
2026-02-16,2026-W08,Northgate,5-17,39,0
2026-02-16,2026-W08,Northgate,18-49,38,0
2026-02-16,2026-W08,Northgate,50-64,14,1
2026-02-16,2026-W08,Northgate,65+,12,2
2026-02-16,2026-W08,Riverside East,0-4,4,0
2026-02-16,2026-W08,Riverside East,5-17,26,0
2026-02-16,2026-W08,Riverside East,18-49,22,0
2026-02-16,2026-W08,Riverside East,50-64,6,0
2026-02-16,2026-W08,Riverside East,65+,6,0
2026-02-16,2026-W08,Old Harbor,0-4,6,1
2026-02-16,2026-W08,Old Harbor,5-17,19,0
2026-02-16,2026-W08,Old Harbor,18-49,29,0
2026-02-16,2026-W08,Old Harbor,50-64,17,1
2026-02-16,2026-W08,Old Harbor,65+,18,1
2026-02-16,2026-W08,Millbrook,0-4,15,1
2026-02-16,2026-W08,Millbrook,5-17,44,0
2026-02-16,2026-W08,Millbrook,18-49,34,0
2026-02-16,2026-W08,Millbrook,50-64,13,0
2026-02-16,2026-W08,Millbrook,65+,10,1
2026-02-16,2026-W08,Cedar Falls,0-4,8,0
2026-02-16,2026-W08,Cedar Falls,5-17,34,1
2026-02-16,2026-W08,Cedar Falls,18-49,42,0
2026-02-16,2026-W08,Cedar Falls,50-64,23,0
2026-02-16,2026-W08,Cedar Falls,65+,26,2
2026-02-16,2026-W08,Southport,0-4,6,0
2026-02-16,2026-W08,Southport,5-17,31,0
2026-02-16,2026-W08,Southport,18-49,22,2
2026-02-16,2026-W08,Southport,50-64,8,0
2026-02-16,2026-W08,Southport,65+,9,1
2026-02-23,2026-W09,Northgate,0-4,8,0
2026-02-23,2026-W09,Northgate,5-17,33,0
2026-02-23,2026-W09,Northgate,18-49,23,0
2026-02-23,2026-W09,Northgate,50-64,11,1
2026-02-23,2026-W09,Northgate,65+,13,2
2026-02-23,2026-W09,Riverside East,0-4,5,0
2026-02-23,2026-W09,Riverside East,5-17,20,0
2026-02-23,2026-W09,Riverside East,18-49,6,0
2026-02-23,2026-W09,Riverside East,50-64,6,1
2026-02-23,2026-W09,Riverside East,65+,0,0
2026-02-23,2026-W09,Old Harbor,0-4,7,1
2026-02-23,2026-W09,Old Harbor,5-17,16,0
2026-02-23,2026-W09,Old Harbor,18-49,14,2
2026-02-23,2026-W09,Old Harbor,50-64,12,0
2026-02-23,2026-W09,Old Harbor,65+,25,4
2026-02-23,2026-W09,Millbrook,0-4,7,0
2026-02-23,2026-W09,Millbrook,5-17,32,0
2026-02-23,2026-W09,Millbrook,18-49,19,2
2026-02-23,2026-W09,Millbrook,50-64,17,0
2026-02-23,2026-W09,Millbrook,65+,10,2
2026-02-23,2026-W09,Cedar Falls,0-4,4,0
2026-02-23,2026-W09,Cedar Falls,5-17,43,0
2026-02-23,2026-W09,Cedar Falls,18-49,35,1
2026-02-23,2026-W09,Cedar Falls,50-64,13,0
2026-02-23,2026-W09,Cedar Falls,65+,17,2
2026-02-23,2026-W09,Southport,0-4,5,0
2026-02-23,2026-W09,Southport,5-17,12,0
2026-02-23,2026-W09,Southport,18-49,14,0
2026-02-23,2026-W09,Southport,50-64,3,0
2026-02-23,2026-W09,Southport,65+,1,1
2026-03-02,2026-W10,Northgate,0-4,6,0
2026-03-02,2026-W10,Northgate,5-17,25,1
2026-03-02,2026-W10,Northgate,18-49,15,0
2026-03-02,2026-W10,Northgate,50-64,5,0
2026-03-02,2026-W10,Northgate,65+,7,0
2026-03-02,2026-W10,Riverside East,0-4,7,1
2026-03-02,2026-W10,Riverside East,5-17,19,0
2026-03-02,2026-W10,Riverside East,18-49,15,0
2026-03-02,2026-W10,Riverside East,50-64,6,0
2026-03-02,2026-W10,Riverside East,65+,1,0
2026-03-02,2026-W10,Old Harbor,0-4,5,0
2026-03-02,2026-W10,Old Harbor,5-17,12,0
2026-03-02,2026-W10,Old Harbor,18-49,12,1
2026-03-02,2026-W10,Old Harbor,50-64,8,0
2026-03-02,2026-W10,Old Harbor,65+,10,2
2026-03-02,2026-W10,Millbrook,0-4,9,0
2026-03-02,2026-W10,Millbrook,5-17,13,0
2026-03-02,2026-W10,Millbrook,18-49,14,0
2026-03-02,2026-W10,Millbrook,50-64,3,0
2026-03-02,2026-W10,Millbrook,65+,6,2
2026-03-02,2026-W10,Cedar Falls,0-4,7,0
2026-03-02,2026-W10,Cedar Falls,5-17,24,0
2026-03-02,2026-W10,Cedar Falls,18-49,14,0
2026-03-02,2026-W10,Cedar Falls,50-64,13,2
2026-03-02,2026-W10,Cedar Falls,65+,8,0
2026-03-02,2026-W10,Southport,0-4,8,0
2026-03-02,2026-W10,Southport,5-17,18,0
2026-03-02,2026-W10,Southport,18-49,6,0
2026-03-02,2026-W10,Southport,50-64,1,0
2026-03-02,2026-W10,Southport,65+,2,0
2026-03-09,2026-W11,Northgate,0-4,5,0
2026-03-09,2026-W11,Northgate,5-17,13,0
2026-03-09,2026-W11,Northgate,18-49,16,1
2026-03-09,2026-W11,Northgate,50-64,7,1
2026-03-09,2026-W11,Northgate,65+,3,1
2026-03-09,2026-W11,Riverside East,0-4,7,0
2026-03-09,2026-W11,Riverside East,5-17,30,0
2026-03-09,2026-W11,Riverside East,18-49,6,0
2026-03-09,2026-W11,Riverside East,50-64,1,0
2026-03-09,2026-W11,Riverside East,65+,5,1
2026-03-09,2026-W11,Old Harbor,0-4,3,0
2026-03-09,2026-W11,Old Harbor,5-17,19,1
2026-03-09,2026-W11,Old Harbor,18-49,16,0
2026-03-09,2026-W11,Old Harbor,50-64,5,0
2026-03-09,2026-W11,Old Harbor,65+,8,1
2026-03-09,2026-W11,Millbrook,0-4,6,0
2026-03-09,2026-W11,Millbrook,5-17,20,0
2026-03-09,2026-W11,Millbrook,18-49,14,0
2026-03-09,2026-W11,Millbrook,50-64,5,0
2026-03-09,2026-W11,Millbrook,65+,4,1
2026-03-09,2026-W11,Cedar Falls,0-4,4,1
2026-03-09,2026-W11,Cedar Falls,5-17,22,0
2026-03-09,2026-W11,Cedar Falls,18-49,7,1
2026-03-09,2026-W11,Cedar Falls,50-64,7,0
2026-03-09,2026-W11,Cedar Falls,65+,11,2
2026-03-09,2026-W11,Southport,0-4,9,0
2026-03-09,2026-W11,Southport,5-17,29,0
2026-03-09,2026-W11,Southport,18-49,6,1
2026-03-09,2026-W11,Southport,50-64,1,0
2026-03-09,2026-W11,Southport,65+,0,0
2026-03-16,2026-W12,Northgate,0-4,8,0
2026-03-16,2026-W12,Northgate,5-17,12,0
2026-03-16,2026-W12,Northgate,18-49,9,0
2026-03-16,2026-W12,Northgate,50-64,3,0
2026-03-16,2026-W12,Northgate,65+,2,0
2026-03-16,2026-W12,Riverside East,0-4,5,3
2026-03-16,2026-W12,Riverside East,5-17,11,0
2026-03-16,2026-W12,Riverside East,18-49,7,0
2026-03-16,2026-W12,Riverside East,50-64,2,0
2026-03-16,2026-W12,Riverside East,65+,1,0
2026-03-16,2026-W12,Old Harbor,0-4,2,0
2026-03-16,2026-W12,Old Harbor,5-17,12,0
2026-03-16,2026-W12,Old Harbor,18-49,5,0
2026-03-16,2026-W12,Old Harbor,50-64,4,0
2026-03-16,2026-W12,Old Harbor,65+,4,1
2026-03-16,2026-W12,Millbrook,0-4,5,1
2026-03-16,2026-W12,Millbrook,5-17,23,0
2026-03-16,2026-W12,Millbrook,18-49,7,0
2026-03-16,2026-W12,Millbrook,50-64,4,0
2026-03-16,2026-W12,Millbrook,65+,5,0
2026-03-16,2026-W12,Cedar Falls,0-4,5,0
2026-03-16,2026-W12,Cedar Falls,5-17,23,0
2026-03-16,2026-W12,Cedar Falls,18-49,17,0
2026-03-16,2026-W12,Cedar Falls,50-64,3,0
2026-03-16,2026-W12,Cedar Falls,65+,6,2
2026-03-16,2026-W12,Southport,0-4,10,0
2026-03-16,2026-W12,Southport,5-17,29,0
2026-03-16,2026-W12,Southport,18-49,8,2
2026-03-16,2026-W12,Southport,50-64,2,0
2026-03-16,2026-W12,Southport,65+,3,1
2026-03-23,2026-W13,Northgate,0-4,6,0
2026-03-23,2026-W13,Northgate,5-17,15,0
2026-03-23,2026-W13,Northgate,18-49,8,0
2026-03-23,2026-W13,Northgate,50-64,3,0
2026-03-23,2026-W13,Northgate,65+,3,1
2026-03-23,2026-W13,Riverside East,0-4,7,0
2026-03-23,2026-W13,Riverside East,5-17,20,1
2026-03-23,2026-W13,Riverside East,18-49,5,0
2026-03-23,2026-W13,Riverside East,50-64,1,0
2026-03-23,2026-W13,Riverside East,65+,0,0
2026-03-23,2026-W13,Old Harbor,0-4,4,0
2026-03-23,2026-W13,Old Harbor,5-17,15,1
2026-03-23,2026-W13,Old Harbor,18-49,3,0
2026-03-23,2026-W13,Old Harbor,50-64,3,1
2026-03-23,2026-W13,Old Harbor,65+,8,3
2026-03-23,2026-W13,Millbrook,0-4,4,0
2026-03-23,2026-W13,Millbrook,5-17,12,0
2026-03-23,2026-W13,Millbrook,18-49,7,0
2026-03-23,2026-W13,Millbrook,50-64,1,0
2026-03-23,2026-W13,Millbrook,65+,0,0
2026-03-23,2026-W13,Cedar Falls,0-4,3,0
2026-03-23,2026-W13,Cedar Falls,5-17,20,0
2026-03-23,2026-W13,Cedar Falls,18-49,2,0
2026-03-23,2026-W13,Cedar Falls,50-64,2,0
2026-03-23,2026-W13,Cedar Falls,65+,0,0
2026-03-23,2026-W13,Southport,0-4,11,1
2026-03-23,2026-W13,Southport,5-17,29,0
2026-03-23,2026-W13,Southport,18-49,6,0
2026-03-23,2026-W13,Southport,50-64,1,0
2026-03-23,2026-W13,Southport,65+,2,1
2026-03-30,2026-W14,Northgate,0-4,3,0
2026-03-30,2026-W14,Northgate,5-17,15,0
2026-03-30,2026-W14,Northgate,18-49,8,1
2026-03-30,2026-W14,Northgate,50-64,1,0
2026-03-30,2026-W14,Northgate,65+,2,0
2026-03-30,2026-W14,Riverside East,0-4,1,0
2026-03-30,2026-W14,Riverside East,5-17,12,0
2026-03-30,2026-W14,Riverside East,18-49,4,0
2026-03-30,2026-W14,Riverside East,50-64,3,1
2026-03-30,2026-W14,Riverside East,65+,1,0
2026-03-30,2026-W14,Old Harbor,0-4,1,0
2026-03-30,2026-W14,Old Harbor,5-17,10,0
2026-03-30,2026-W14,Old Harbor,18-49,2,0
2026-03-30,2026-W14,Old Harbor,50-64,3,0
2026-03-30,2026-W14,Old Harbor,65+,0,0
2026-03-30,2026-W14,Millbrook,0-4,4,0
2026-03-30,2026-W14,Millbrook,5-17,22,0
2026-03-30,2026-W14,Millbrook,18-49,4,0
2026-03-30,2026-W14,Millbrook,50-64,3,0
2026-03-30,2026-W14,Millbrook,65+,0,0
2026-03-30,2026-W14,Cedar Falls,0-4,3,0
2026-03-30,2026-W14,Cedar Falls,5-17,11,0
2026-03-30,2026-W14,Cedar Falls,18-49,2,0
2026-03-30,2026-W14,Cedar Falls,50-64,1,0
2026-03-30,2026-W14,Cedar Falls,65+,0,0
2026-03-30,2026-W14,Southport,0-4,9,1
2026-03-30,2026-W14,Southport,5-17,16,0
2026-03-30,2026-W14,Southport,18-49,4,0
2026-03-30,2026-W14,Southport,50-64,2,1
2026-03-30,2026-W14,Southport,65+,0,0
2026-04-06,2026-W15,Northgate,0-4,4,1
2026-04-06,2026-W15,Northgate,5-17,11,0
2026-04-06,2026-W15,Northgate,18-49,4,0
2026-04-06,2026-W15,Northgate,50-64,3,0
2026-04-06,2026-W15,Northgate,65+,1,0
2026-04-06,2026-W15,Riverside East,0-4,4,0
2026-04-06,2026-W15,Riverside East,5-17,5,0
2026-04-06,2026-W15,Riverside East,18-49,2,0
2026-04-06,2026-W15,Riverside East,50-64,1,0
2026-04-06,2026-W15,Riverside East,65+,2,1
2026-04-06,2026-W15,Old Harbor,0-4,2,0
2026-04-06,2026-W15,Old Harbor,5-17,4,0
2026-04-06,2026-W15,Old Harbor,18-49,0,0
2026-04-06,2026-W15,Old Harbor,50-64,1,0
2026-04-06,2026-W15,Old Harbor,65+,4,1
2026-04-06,2026-W15,Millbrook,0-4,4,0
2026-04-06,2026-W15,Millbrook,5-17,9,0
2026-04-06,2026-W15,Millbrook,18-49,4,0
2026-04-06,2026-W15,Millbrook,50-64,1,0
2026-04-06,2026-W15,Millbrook,65+,1,0
2026-04-06,2026-W15,Cedar Falls,0-4,1,0
2026-04-06,2026-W15,Cedar Falls,5-17,7,0
2026-04-06,2026-W15,Cedar Falls,18-49,4,0
2026-04-06,2026-W15,Cedar Falls,50-64,1,0
2026-04-06,2026-W15,Cedar Falls,65+,1,0
2026-04-06,2026-W15,Southport,0-4,4,0
2026-04-06,2026-W15,Southport,5-17,21,1
2026-04-06,2026-W15,Southport,18-49,1,0
2026-04-06,2026-W15,Southport,50-64,1,0
2026-04-06,2026-W15,Southport,65+,0,0
2026-04-13,2026-W16,Northgate,0-4,1,0
2026-04-13,2026-W16,Northgate,5-17,6,0
2026-04-13,2026-W16,Northgate,18-49,2,0
2026-04-13,2026-W16,Northgate,50-64,2,0
2026-04-13,2026-W16,Northgate,65+,1,0
2026-04-13,2026-W16,Riverside East,0-4,0,0
2026-04-13,2026-W16,Riverside East,5-17,4,0
2026-04-13,2026-W16,Riverside East,18-49,1,0
2026-04-13,2026-W16,Riverside East,50-64,1,0
2026-04-13,2026-W16,Riverside East,65+,3,1
2026-04-13,2026-W16,Old Harbor,0-4,3,0
2026-04-13,2026-W16,Old Harbor,5-17,1,0
2026-04-13,2026-W16,Old Harbor,18-49,0,0
2026-04-13,2026-W16,Old Harbor,50-64,4,0
2026-04-13,2026-W16,Old Harbor,65+,2,0
2026-04-13,2026-W16,Millbrook,0-4,1,0
2026-04-13,2026-W16,Millbrook,5-17,5,0
2026-04-13,2026-W16,Millbrook,18-49,5,0
2026-04-13,2026-W16,Millbrook,50-64,1,0
2026-04-13,2026-W16,Millbrook,65+,0,0
2026-04-13,2026-W16,Cedar Falls,0-4,0,0
2026-04-13,2026-W16,Cedar Falls,5-17,6,0
2026-04-13,2026-W16,Cedar Falls,18-49,1,0
2026-04-13,2026-W16,Cedar Falls,50-64,1,0
2026-04-13,2026-W16,Cedar Falls,65+,1,0
2026-04-13,2026-W16,Southport,0-4,2,0
2026-04-13,2026-W16,Southport,5-17,4,0
2026-04-13,2026-W16,Southport,18-49,3,0
2026-04-13,2026-W16,Southport,50-64,2,0
2026-04-13,2026-W16,Southport,65+,0,0
2026-04-20,2026-W17,Northgate,0-4,0,0
2026-04-20,2026-W17,Northgate,5-17,5,0
2026-04-20,2026-W17,Northgate,18-49,4,0
2026-04-20,2026-W17,Northgate,50-64,3,0
2026-04-20,2026-W17,Northgate,65+,0,0
2026-04-20,2026-W17,Riverside East,0-4,3,0
2026-04-20,2026-W17,Riverside East,5-17,1,0
2026-04-20,2026-W17,Riverside East,18-49,5,0
2026-04-20,2026-W17,Riverside East,50-64,1,0
2026-04-20,2026-W17,Riverside East,65+,1,0
2026-04-20,2026-W17,Old Harbor,0-4,1,0
2026-04-20,2026-W17,Old Harbor,5-17,1,0
2026-04-20,2026-W17,Old Harbor,18-49,2,0
2026-04-20,2026-W17,Old Harbor,50-64,0,0
2026-04-20,2026-W17,Old Harbor,65+,1,0
2026-04-20,2026-W17,Millbrook,0-4,0,0
2026-04-20,2026-W17,Millbrook,5-17,0,0
2026-04-20,2026-W17,Millbrook,18-49,4,0
2026-04-20,2026-W17,Millbrook,50-64,2,0
2026-04-20,2026-W17,Millbrook,65+,2,1
2026-04-20,2026-W17,Cedar Falls,0-4,0,0
2026-04-20,2026-W17,Cedar Falls,5-17,3,0
2026-04-20,2026-W17,Cedar Falls,18-49,4,0
2026-04-20,2026-W17,Cedar Falls,50-64,3,1
2026-04-20,2026-W17,Cedar Falls,65+,2,0
2026-04-20,2026-W17,Southport,0-4,0,0
2026-04-20,2026-W17,Southport,5-17,8,0
2026-04-20,2026-W17,Southport,18-49,6,1
2026-04-20,2026-W17,Southport,50-64,1,0
2026-04-20,2026-W17,Southport,65+,1,0
2026-04-27,2026-W18,Northgate,0-4,1,0
2026-04-27,2026-W18,Northgate,5-17,3,0
2026-04-27,2026-W18,Northgate,18-49,0,0
2026-04-27,2026-W18,Northgate,50-64,2,0
2026-04-27,2026-W18,Northgate,65+,1,0
2026-04-27,2026-W18,Riverside East,0-4,1,0
2026-04-27,2026-W18,Riverside East,5-17,2,1
2026-04-27,2026-W18,Riverside East,18-49,4,0
2026-04-27,2026-W18,Riverside East,50-64,0,0
2026-04-27,2026-W18,Riverside East,65+,1,0
2026-04-27,2026-W18,Old Harbor,0-4,0,0
2026-04-27,2026-W18,Old Harbor,5-17,1,0
2026-04-27,2026-W18,Old Harbor,18-49,2,0
2026-04-27,2026-W18,Old Harbor,50-64,1,0
2026-04-27,2026-W18,Old Harbor,65+,6,1
2026-04-27,2026-W18,Millbrook,0-4,0,0
2026-04-27,2026-W18,Millbrook,5-17,0,0
2026-04-27,2026-W18,Millbrook,18-49,4,1
2026-04-27,2026-W18,Millbrook,50-64,1,0
2026-04-27,2026-W18,Millbrook,65+,2,1
2026-04-27,2026-W18,Cedar Falls,0-4,0,0
2026-04-27,2026-W18,Cedar Falls,5-17,2,0
2026-04-27,2026-W18,Cedar Falls,18-49,5,0
2026-04-27,2026-W18,Cedar Falls,50-64,1,0
2026-04-27,2026-W18,Cedar Falls,65+,1,0
2026-04-27,2026-W18,Southport,0-4,2,0
2026-04-27,2026-W18,Southport,5-17,7,0
2026-04-27,2026-W18,Southport,18-49,2,0
2026-04-27,2026-W18,Southport,50-64,3,0
2026-04-27,2026-W18,Southport,65+,2,1
2026-05-04,2026-W19,Northgate,0-4,0,0
2026-05-04,2026-W19,Northgate,5-17,7,0
2026-05-04,2026-W19,Northgate,18-49,7,1
2026-05-04,2026-W19,Northgate,50-64,1,0
2026-05-04,2026-W19,Northgate,65+,1,0
2026-05-04,2026-W19,Riverside East,0-4,2,0
2026-05-04,2026-W19,Riverside East,5-17,4,0
2026-05-04,2026-W19,Riverside East,18-49,3,0
2026-05-04,2026-W19,Riverside East,50-64,0,0
2026-05-04,2026-W19,Riverside East,65+,1,0
2026-05-04,2026-W19,Old Harbor,0-4,0,0
2026-05-04,2026-W19,Old Harbor,5-17,2,0
2026-05-04,2026-W19,Old Harbor,18-49,3,0
2026-05-04,2026-W19,Old Harbor,50-64,1,0
2026-05-04,2026-W19,Old Harbor,65+,4,1
2026-05-04,2026-W19,Millbrook,0-4,1,0
2026-05-04,2026-W19,Millbrook,5-17,4,0
2026-05-04,2026-W19,Millbrook,18-49,4,1
2026-05-04,2026-W19,Millbrook,50-64,1,0
2026-05-04,2026-W19,Millbrook,65+,2,0
2026-05-04,2026-W19,Cedar Falls,0-4,0,0
2026-05-04,2026-W19,Cedar Falls,5-17,1,0
2026-05-04,2026-W19,Cedar Falls,18-49,2,0
2026-05-04,2026-W19,Cedar Falls,50-64,0,0
2026-05-04,2026-W19,Cedar Falls,65+,1,0
2026-05-04,2026-W19,Southport,0-4,2,0
2026-05-04,2026-W19,Southport,5-17,4,0
2026-05-04,2026-W19,Southport,18-49,1,0
2026-05-04,2026-W19,Southport,50-64,1,0
2026-05-04,2026-W19,Southport,65+,3,0
2026-05-11,2026-W20,Northgate,0-4,0,0
2026-05-11,2026-W20,Northgate,5-17,6,0
2026-05-11,2026-W20,Northgate,18-49,3,0
2026-05-11,2026-W20,Northgate,50-64,2,0
2026-05-11,2026-W20,Northgate,65+,3,1
2026-05-11,2026-W20,Riverside East,0-4,0,0
2026-05-11,2026-W20,Riverside East,5-17,3,0
2026-05-11,2026-W20,Riverside East,18-49,2,0
2026-05-11,2026-W20,Riverside East,50-64,2,0
2026-05-11,2026-W20,Riverside East,65+,1,0
2026-05-11,2026-W20,Old Harbor,0-4,1,0
2026-05-11,2026-W20,Old Harbor,5-17,1,0
2026-05-11,2026-W20,Old Harbor,18-49,3,0
2026-05-11,2026-W20,Old Harbor,50-64,0,0
2026-05-11,2026-W20,Old Harbor,65+,0,0
2026-05-11,2026-W20,Millbrook,0-4,0,0
2026-05-11,2026-W20,Millbrook,5-17,0,0
2026-05-11,2026-W20,Millbrook,18-49,0,0
2026-05-11,2026-W20,Millbrook,50-64,1,0
2026-05-11,2026-W20,Millbrook,65+,1,0
2026-05-11,2026-W20,Cedar Falls,0-4,0,0
2026-05-11,2026-W20,Cedar Falls,5-17,0,0
2026-05-11,2026-W20,Cedar Falls,18-49,5,0
2026-05-11,2026-W20,Cedar Falls,50-64,0,0
2026-05-11,2026-W20,Cedar Falls,65+,1,0
2026-05-11,2026-W20,Southport,0-4,2,0
2026-05-11,2026-W20,Southport,5-17,3,0
2026-05-11,2026-W20,Southport,18-49,5,2
2026-05-11,2026-W20,Southport,50-64,0,0
2026-05-11,2026-W20,Southport,65+,0,0
